iter	Passed	Remaining
0	33	16693
1	60	15022
2	88	14683
3	118	14670
4	148	14681
5	177	14582
6	206	14516
7	233	14357
8	261	14245
9	288	14136
10	316	14089
11	344	14002
12	372	13946
13	402	13983
14	432	13978
15	460	13945
16	489	13898
17	518	13884
18	548	13885
19	578	13893
20	611	13936
21	647	14077
22	683	14178
23	720	14294
24	754	14342
25	783	14283
26	812	14233
27	840	14172
28	870	14134
29	900	14114
30	930	14078
31	961	14062
32	990	14019
33	1019	13978
34	1048	13930
35	1079	13908
36	1110	13894
37	1146	13943
38	1181	13969
39	1215	13981
40	1247	13963
41	1281	13973
42	1317	13997
43	1349	13985
44	1382	13983
45	1413	13945
46	1447	13949
47	1487	14009
48	1522	14014
49	1557	14020
50	1592	14022
51	1627	14018
52	1661	14012
53	1696	14008
54	1730	13999
55	1764	13993
56	1798	13981
57	1833	13976
58	1869	13971
59	1903	13957
60	1935	13926
61	1965	13881
62	1997	13853
63	2029	13824
64	2059	13785
65	2091	13752
66	2124	13732
67	2155	13693
68	2184	13647
69	2213	13596
70	2241	13543
71	2269	13493
72	2298	13446
73	2327	13399
74	2356	13355
75	2387	13318
76	2416	13276
77	2447	13243
78	2477	13204
79	2509	13174
80	2538	13129
81	2566	13084
82	2596	13043
83	2625	13000
84	2654	12957
85	2683	12918
86	2715	12889
87	2744	12849
88	2774	12810
89	2804	12775
90	2835	12744
91	2864	12703
92	2908	12728
93	2937	12689
94	2967	12651
95	2996	12611
96	3025	12568
97	3053	12526
98	3081	12483
99	3114	12456
100	3145	12427
101	3174	12386
102	3203	12345
103	3230	12301
104	3259	12263
105	3290	12230
106	3319	12190
107	3347	12151
108	3376	12113
109	3406	12079
110	3436	12044
111	3468	12014
112	3497	11978
113	3526	11941
114	3556	11906
115	3586	11871
116	3616	11838
117	3645	11802
118	3675	11767
119	3704	11731
120	3734	11698
121	3767	11673
122	3796	11635
123	3825	11599
124	3854	11563
125	3882	11525
126	3912	11490
127	3943	11460
128	3974	11430
129	4003	11395
130	4032	11359
131	4061	11323
132	4092	11293
133	4124	11265
134	4153	11229
135	4182	11193
136	4210	11156
137	4238	11118
138	4267	11082
139	4299	11055
140	4327	11017
141	4355	10981
142	4387	10954
143	4418	10922
144	4447	10889
145	4479	10860
146	4509	10828
147	4542	10803
148	4571	10769
149	4601	10736
150	4631	10704
151	4661	10672
152	4690	10637
153	4721	10608
154	4752	10578
155	4782	10545
156	4812	10513
157	4842	10482
158	4872	10450
159	4902	10418
160	4932	10385
161	4962	10353
162	4991	10319
163	5019	10283
164	5049	10251
165	5079	10219
166	5111	10191
167	5141	10159
168	5170	10126
169	5199	10093
170	5227	10057
171	5256	10023
172	5285	9990
173	5315	9958
174	5345	9927
175	5375	9895
176	5404	9862
177	5433	9828
178	5463	9798
179	5494	9768
180	5523	9734
181	5553	9702
182	5584	9672
183	5614	9641
184	5644	9610
185	5673	9577
186	5703	9547
187	5732	9513
188	5762	9482
189	5792	9451
190	5822	9419
191	5851	9387
192	5881	9356
193	5912	9325
194	5942	9294
195	5976	9269
196	6008	9241
197	6037	9208
198	6067	9176
199	6098	9148
200	6130	9119
201	6161	9089
202	6189	9055
203	6222	9028
204	6250	8994
205	6287	8972
206	6315	8939
207	6344	8906
208	6372	8873
209	6402	8841
210	6432	8809
211	6461	8777
212	6490	8745
213	6520	8713
214	6549	8682
215	6579	8651
216	6608	8619
217	6637	8586
218	6666	8553
219	6694	8520
220	6726	8491
221	6756	8460
222	6786	8430
223	6816	8398
224	6845	8366
225	6875	8335
226	6905	8304
227	6935	8273
228	6966	8244
229	6996	8213
230	7026	8182
231	7056	8151
232	7088	8122
233	7120	8093
234	7150	8062
235	7178	8029
236	7206	7997
237	7235	7964
238	7265	7934
239	7295	7902
240	7323	7870
241	7351	7837
242	7380	7806
243	7410	7774
244	7439	7742
245	7469	7712
246	7497	7680
247	7526	7648
248	7557	7617
249	7586	7586
250	7616	7556
251	7646	7524
252	7674	7492
253	7703	7461
254	7733	7430
255	7763	7399
256	7792	7367
257	7823	7337
258	7852	7307
259	7882	7276
260	7912	7245
261	7941	7213
262	7975	7187
263	8005	7156
264	8036	7126
265	8069	7098
266	8101	7069
267	8130	7038
268	8159	7006
269	8188	6975
270	8217	6944
271	8245	6911
272	8272	6878
273	8301	6847
274	8330	6815
275	8359	6784
276	8390	6754
277	8420	6724
278	8449	6693
279	8478	6661
280	8507	6630
281	8536	6599
282	8566	6568
283	8596	6538
284	8625	6507
285	8656	6476
286	8685	6446
287	8714	6415
288	8743	6383
289	8774	6353
290	8804	6323
291	8833	6292
292	8863	6261
293	8893	6231
294	8922	6200
295	8952	6170
296	8987	6143
297	9017	6112
298	9046	6081
299	9077	6051
300	9107	6021
301	9135	5989
302	9164	5958
303	9193	5927
304	9221	5895
305	9250	5864
306	9280	5834
307	9308	5802
308	9335	5770
309	9365	5740
310	9395	5709
311	9424	5678
312	9455	5649
313	9485	5618
314	9520	5591
315	9550	5560
316	9580	5530
317	9611	5500
318	9641	5470
319	9672	5440
320	9701	5409
321	9729	5378
322	9758	5347
323	9787	5316
324	9816	5285
325	9847	5255
326	9877	5225
327	9907	5195
328	9938	5165
329	9968	5135
330	9998	5105
331	10028	5074
332	10059	5044
333	10091	5015
334	10119	4984
335	10147	4953
336	10175	4921
337	10204	4890
338	10234	4860
339	10263	4829
340	10293	4799
341	10324	4769
342	10354	4739
343	10389	4711
344	10419	4681
345	10448	4650
346	10478	4620
347	10508	4589
348	10536	4558
349	10565	4528
350	10595	4497
351	10624	4467
352	10670	4443
353	10699	4412
354	10729	4382
355	10759	4352
356	10789	4321
357	10819	4291
358	10848	4260
359	10878	4230
360	10907	4199
361	10939	4170
362	10969	4140
363	10998	4109
364	11028	4079
365	11059	4049
366	11090	4019
367	11119	3988
368	11147	3957
369	11175	3926
370	11204	3896
371	11234	3865
372	11265	3835
373	11293	3804
374	11322	3774
375	11352	3743
376	11380	3713
377	11409	3682
378	11438	3652
379	11467	3621
380	11497	3590
381	11526	3560
382	11556	3530
383	11585	3499
384	11614	3469
385	11644	3439
386	11674	3408
387	11704	3378
388	11734	3348
389	11763	3317
390	11793	3287
391	11822	3257
392	11851	3226
393	11879	3195
394	11909	3165
395	11937	3135
396	11968	3105
397	11999	3075
398	12030	3045
399	12062	3015
400	12092	2985
401	12120	2954
402	12149	2924
403	12177	2893
404	12207	2863
405	12237	2833
406	12266	2802
407	12295	2772
408	12326	2742
409	12355	2712
410	12383	2681
411	12413	2651
412	12443	2621
413	12471	2590
414	12500	2560
415	12529	2530
416	12558	2499
417	12588	2469
418	12618	2439
419	12649	2409
420	12678	2379
421	12709	2349
422	12739	2318
423	12769	2288
424	12798	2258
425	12828	2228
426	12858	2198
427	12908	2171
428	12940	2141
429	12970	2111
430	12998	2081
431	13028	2050
432	13058	2020
433	13089	1990
434	13119	1960
435	13148	1930
436	13177	1899
437	13205	1869
438	13234	1838
439	13262	1808
440	13290	1778
441	13319	1747
442	13349	1717
443	13379	1687
444	13408	1657
445	13437	1626
446	13466	1596
447	13496	1566
448	13527	1536
449	13557	1506
450	13587	1476
451	13617	1446
452	13647	1416
453	13676	1385
454	13705	1355
455	13736	1325
456	13765	1295
457	13795	1265
458	13826	1235
459	13855	1204
460	13883	1174
461	13913	1144
462	13943	1114
463	13988	1085
464	14018	1055
465	14050	1025
466	14082	995
467	14111	964
468	14140	934
469	14168	904
470	14196	874
471	14225	843
472	14256	813
473	14285	783
474	14313	753
475	14342	723
476	14372	693
477	14402	662
478	14437	632
479	14469	602
480	14500	572
481	14529	542
482	14558	512
483	14588	482
484	14616	452
485	14646	421
486	14676	391
487	14705	361
488	14735	331
489	14765	301
490	14795	271
491	14826	241
492	14856	210
493	14886	180
494	14917	150
495	14947	120
496	14976	90
497	15005	60
498	15037	30
499	15069	0
